phi_transmission,kappa_scale,Eh_peak,El_peak
0.9249999999999999,1.65,0.00021667843742652034,0.0012343209285987213
0.9249999999999999,1.7999999999999998,0.0002178348909855522,0.0012269102519002213
0.9249999999999999,1.95,0.0002197493306781249,0.001219205843472505
0.9249999999999999,2.1,0.00022247014918591924,0.0012112141906500111
0.9249999999999999,2.25,0.00022602803291128142,0.0012028835490024874
0.9249999999999999,2.4,0.00023045562124552804,0.0011942287055199067
0.9249999999999999,2.55,0.00023578560294780824,0.0011852419496391252
0.9249999999999999,2.6999999999999997,0.00024205224910813002,0.0011759113185373876
0.9249999999999999,2.85,0.0002492923646125186,0.0011662175170928633
0.9249999999999999,3.0,0.0002575463380447124,0.001156178338830168
0.94,0.0,0.00021852453793736834,0.0012508441591432653
0.94,0.15,0.00021892761758432323,0.001245413235529425
0.94,0.3,0.00021937452338875428,0.001239794619439803
0.94,0.44999999999999996,0.0002198871701625046,0.0012340067232496901
0.94,0.6,0.00022058601505107718,0.0012280218105239825
0.94,0.75,0.00022172506251436303,0.0012218453093469563
0.94,0.8999999999999999,0.0002233808251990703,0.0012154769523615566
0.94,1.05,0.00022557563239747585,0.0012089161049941082
0.94,1.2,0.0002283260236075313,0.0012021283125602175
0.94,1.3499999999999999,0.00023164893010277433,0.0011951274684555908
0.94,1.5,0.00023556245234025803,0.0011879078949175023
0.94,1.65,0.00024008462438479037,0.0011804661796565561
0.94,1.7999999999999998,0.0002452345056468037,0.0011727961037385538
0.94,1.95,0.00025103169023851817,0.001164890363992777
0.94,2.1,0.0002574987160308605,0.0011567367653263026
0.94,2.25,0.0002646579755997652,0.0011483507079423562
0.94,2.4,0.00027253567561662733,0.0011397049753135587
0.94,2.55,0.00028115963501417347,0.0011308031500147986
0.94,2.6999999999999997,0.00029056198270400373,0.001121642813264859
0.94,2.85,0.0003007755439310277,0.0011122113952231254
0.94,3.0,0.0003118359628661363,0.0011025014076448923
0.955,0.0,0.0002393759962966084,0.0011838967574087265
0.955,0.15,0.00024281441319169052,0.0011781803307302893
0.955,0.3,0.0002466185044619324,0.0011723298147200691
0.955,0.44999999999999996,0.00025079709650720206,0.0011663428365678197
0.955,0.6,0.0002553592647423215,0.0011602172937510348
0.955,0.75,0.0002603144608062763,0.001153940228311872
